after,before,flip_tax,council
"$1,874,957,000.00","$921,322,720.00","$9,536,342.80",4
"$1,635,220,000.00","$716,593,500.00","$9,186,265.00",1
"$1,086,782,500.00","$571,980,000.00","$5,148,025.00",3
"$938,882,185.00","$439,034,619.00","$4,998,475.66",36
"$1,066,029,147.00","$567,138,281.00","$4,988,908.66",27
"$964,993,957.00","$506,699,272.00","$4,582,946.85",28
"$692,826,364.00","$338,163,804.00","$3,546,625.60",37
"$634,858,004.00","$337,192,455.00","$2,976,655.49",31
"$547,890,000.00","$264,234,956.00","$2,836,550.44",2
"$423,565,123.00","$207,509,921.00","$2,160,552.02",41
"$339,390,968.00","$166,237,796.00","$1,731,531.72",35
"$328,555,833.00","$160,076,558.00","$1,684,792.75",34
"$327,648,402.00","$164,574,015.00","$1,630,743.87",42
"$272,215,035.00","$121,244,491.00","$1,509,705.44",7
"$235,150,000.00","$86,405,000.00","$1,487,450.00",5
"$276,506,963.00","$143,844,134.00","$1,326,628.29",21
"$280,627,799.00","$148,815,984.00","$1,318,118.15",32
"$256,101,119.00","$124,503,123.00","$1,315,979.96",33
"$270,672,062.00","$141,104,238.00","$1,295,678.24",12
"$251,292,336.00","$132,352,210.00","$1,189,401.26",46
"$209,952,608.00","$98,222,241.00","$1,117,303.67",9
"$211,766,910.00","$101,921,013.00","$1,098,458.97",17
"$241,804,017.00","$132,167,803.00","$1,096,362.14",23
"$216,791,101.00","$108,337,667.00","$1,084,534.34",39
"$219,754,244.00","$114,295,676.00","$1,054,585.68",19
"$206,019,156.00","$107,269,400.00","$987,497.56",45
"$187,123,013.00","$96,598,410.00","$905,246.03",30
"$174,307,522.00","$86,545,862.00","$877,616.60",40
"$162,968,058.00","$84,143,704.00","$788,243.54",15
"$167,570,424.00","$89,925,556.00","$776,448.68",24
"$160,830,055.00","$84,488,395.00","$763,416.60",18
"$154,940,080.00","$82,093,416.00","$728,466.64",26
"$143,911,295.00","$72,828,922.00","$710,823.73",13
"$136,436,733.00","$65,553,254.00","$708,834.79",38
"$138,712,874.00","$74,716,140.00","$639,967.34",20
"$97,640,625.00","$46,163,948.00","$514,766.77",16
"$94,740,667.00","$48,840,478.00","$459,001.89",48
"$81,948,750.00","$37,529,666.00","$444,190.84",44
"$80,450,100.00","$38,042,757.00","$424,073.43",47
"$85,089,292.00","$43,036,727.00","$420,525.65",11
"$92,030,000.00","$50,010,000.00","$420,200.00",6
"$82,249,508.00","$43,365,902.00","$388,836.06",22
"$81,839,200.00","$43,454,848.00","$383,843.52",10
"$76,835,171.00","$38,786,512.00","$380,486.59",29
"$68,619,650.00","$31,952,049.00","$366,676.01",8
"$69,477,032.00","$36,865,099.00","$326,119.33",25
"$62,881,550.00","$30,711,422.00","$321,701.28",14
"$56,311,077.00","$29,771,259.00","$265,398.18",43
